Assessment Name,Remote Testing Support,Adaptive/IRT Support,Test Type,Assessment URL,Duration
Account Manager Solution,True,True,"Competencies, Personality & Behavior, Ability & Aptitude, Biodata & Situational Judgement",https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,49
Administrative Professional - Short Form,True,True,"Ability & Aptitude, Knowledge & Skills, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,36
Agency Manager Solution,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations",https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,51
Apprentice + 8.0 Job Focused Assessment,True,False,"Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,30
Apprentice 8.0 Job Focused Assessment,True,False,"Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,20
Bank Administrative Assistant - Short Form,True,False,"Ability & Aptitude, Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,35
Bank Collections Agent - Short Form,True,False,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,45
Bank Operations Supervisor - Short Form,True,True,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations",https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,45
Bilingual Spanish Reservation Agent Solution,True,True,"Biodata & Situational Judgement, Personality & Behavior, Simulations, Ability & Aptitude",https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,43
"Bookkeeping, Accounting, Auditing Clerk Short Form",True,True,"Personality & Behavior, Simulations, Knowledge & Skills, Biodata & Situational Judgement, Ability & Aptitude",https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,49
Branch Manager - Short Form,True,False,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,50
Cashier Solution,True,True,"Biodata & Situational Judgement, Ability & Aptitude, Personality & Behavior",https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,28
